name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
defazone 1000mg/500mg injection,defazone,Treatment of Bacterial infections,ANTI,170,269,Dr Reddy,1000mg,injection,false
doltan mt 20mg/50mg tablet,doltan,Hypertension (high blood pressure),CARDIAC,67,71,Alkem,20mg,tablet,false
dilgistar 120mg tablet sr,dilgistar,Treatment of Hypertension (high blood pressure),CARDIAC,177,215,Zydus,120mg,injection,false
denrokon 50mg injection,denrokon,Treatment of Post menopausal osteoporosis,HORMONES,142,330,Alkem,50mg,injection,false
deca el 25mg injection,deca,Treatment of Post menopausal osteoporosis,HORMONES,84,383,Cipla,25mg,injection,false
delzom g 50mg/750mg/250mg tablet,delzom,Osteoarthritis,PAIN,23,495,Alkem,50mg,syrup,false
diczaris mr 250mg/50mg/325mg tablet,diczaris,Treatment of Pain due to muscle spasm,PAIN,67,179,Cipla,250mg,capsule,false
dicloeez plus 50mg/325mg tablet,dicloeez,Pain relief,PAIN,104,484,Abbott,50mg,syrup,true
diczaris s 50mg/10mg tablet,diczaris,Pain relief,PAIN,114,421,Dr Reddy,50mg,syrup,false
dorilyn m 80mg/250mg tablet,dorilyn,Treatment of Abdominal pain,GASTRO,199,483,Lupin,80mg,capsule,true
devok-mr tablet,devok-mr,Treatment of Pain due to muscle spasm,PAIN,106,220,Abbott,100mg,tablet,true
divamik 500mg injection,divamik,Bacterial infections,OPHTHAL,169,483,Dr Reddy,500mg,capsule,false
divarther injection,divarther,Malaria,ANTI,54,362,Lupin,100mg,injection,false
desicef t 1000mg/125mg injection,desicef,Bacterial infections,ANTI,183,243,Lupin,1000mg,capsule,true
depci tz 500mg/600mg tablet,depci,Treatment of Bacterial & parasitic infections,GASTRO,183,117,Abbott,500mg,capsule,false
deeflox mc eye drop,deeflox,Treatment of Bacterial eye infections,OPHTHAL,128,180,Zydus,650mg,capsule,false
dayrabb ls 75mg/20mg capsule,dayrabb,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,173,136,Cipla,75mg,injection,true
dicloton s 50mg/10mg tablet,dicloton,Pain relief,PAIN,191,460,Mankind,50mg,injection,true
defomec 30mg tablet,defomec,Treatment of Inflammatory conditions,HORMONES,67,173,Sun Pharma,30mg,tablet,false
durabact tz 1000mg/125mg injection,durabact,Bacterial infections,ANTI,142,339,Abbott,1000mg,capsule,true
durabact tz 4000mg/500mg injection,durabact,Bacterial infections,ANTI,153,169,Torrent,4000mg,injection,true
dictus mr 250mg/50mg/325mg tablet,dictus,Treatment of Pain due to muscle spasm,PAIN,47,243,Dr Reddy,250mg,capsule,true
diclaro-sp tablet,diclaro-sp,Pain relief,PAIN,80,118,Torrent,500mg,capsule,true
diakon-aq injection,diakon-aq,Pain relief,PAIN,155,130,Alkem,500mg,tablet,false
danson 2mg injection,danson,Treatment of Nausea,GASTRO,67,63,Mankind,2mg,syrup,true
daympod 50mg dry syrup,daympod,Treatment of Bacterial infections,ANTI,140,364,Sun Pharma,50mg,syrup,false
dezipip 4000mg/500mg injection,dezipip,Bacterial infections,ANTI,173,374,Cipla,4000mg,injection,false
diconift aq 75mg injection,diconift,Pain relief,PAIN,90,442,Abbott,75mg,syrup,false
d clow-sp tablet,d,Pain relief,PAIN,44,391,Lupin,500mg,syrup,false
dolozid 75mg injection,dolozid,Pain relief,PAIN,61,428,Lupin,75mg,syrup,true
droxycad 125mg tablet,droxycad,Treatment of Bacterial infections,ANTI,181,360,Zydus,125mg,injection,true
dacarzine 200mg injection,dacarzine,Malignant melanoma,ANTI,97,485,Abbott,200mg,tablet,false
diarno 50mg/5ml/125mg/5ml syrup,diarno,Treatment of Bacterial & parasitic infections,GASTRO,95,177,Dr Reddy,50mg,tablet,false
dumox 1000 mg/200 mg injection,dumox,Treatment of Bacterial infections,ANTI,169,332,Alkem,1000 mg,capsule,true
decokav 25mg injection,decokav,Treatment of Post menopausal osteoporosis,HORMONES,103,105,Zydus,25mg,tablet,false
doxoz-mt 400mg/10mg tablet,doxoz-mt,Treatment and prevention of Asthma,RESPIRATORY,95,131,Cipla,400mg,capsule,true
dacnis-n 100mg/500mg tablet,dacnis-n,Pain relief,PAIN,109,419,Dr Reddy,100mg,injection,true
dofcef 500mg/500mg injection,dofcef,Treatment of Bacterial infections,ANTI,168,413,Alkem,500mg,tablet,true
dicloapt p tablet,dicloapt,Pain relief,PAIN,170,371,Cipla,500mg,capsule,false
dicloapt 50mg/10mg tablet,dicloapt,Pain relief,PAIN,59,464,Cipla,50mg,tablet,true
diclonett s 50mg/10mg tablet,diclonett,Pain relief,PAIN,41,365,Torrent,50mg,injection,true
diclotos pm tablet,diclotos,Pain relief,PAIN,70,179,Sun Pharma,100mg,capsule,true
ducip 250mg tablet,ducip,Treatment of Bacterial infections,GASTRO,81,178,Torrent,250mg,injection,true
demlofen mr 250mg/50mg/325mg tablet,demlofen,Treatment of Pain due to muscle spasm,PAIN,179,101,Dr Reddy,250mg,tablet,true
dumcef 250mg injection,dumcef,Treatment of Bacterial infections,ANTI,130,456,Abbott,250mg,injection,true
defenz 250mg tablet,defenz,Treatment of Bacterial infections,ANTI,106,112,Zydus,250mg,syrup,true
dycotif s 50mg/10mg tablet,dycotif,Pain relief,PAIN,159,197,Mankind,50mg,syrup,true
demogesic aq 75mg injection,demogesic,Pain relief,PAIN,193,239,Mankind,75mg,tablet,true
dolbinac sp 50mg/325mg/15mg tablet,dolbinac,Pain relief,PAIN,161,370,Lupin,50mg,injection,false
dxone s 500mg/250mg injection,dxone,Bacterial infections,ANTI,97,59,Cipla,500mg,capsule,true
dzicot 6mg oral suspension,dzicot,Treatment of Inflammatory conditions,HORMONES,184,446,Lupin,6mg,capsule,true
diskare 50mg tablet,diskare,Osteoarthritis,PAIN,62,493,Abbott,50mg,capsule,false
dicnox s 50mg/10mg tablet,dicnox,Pain relief,PAIN,102,339,Abbott,50mg,injection,true
dezone s 1000mg/500mg injection,dezone,Treatment of Bacterial infections,ANTI,58,410,Alkem,1000mg,syrup,true
dacnik 50mg injection,dacnik,Treatment of Post menopausal osteoporosis,HORMONES,98,337,Dr Reddy,50mg,injection,false
defnixa 6mg oral suspension,defnixa,Treatment of Inflammatory conditions,HORMONES,183,191,Zydus,6mg,tablet,false
dicana p 50mg/325mg tablet,dicana,Pain relief,PAIN,99,433,Alkem,50mg,injection,true
difarnac 75mg injection,difarnac,Pain relief,PAIN,168,269,Lupin,75mg,capsule,false
diocet 2mg syrup,diocet,Treatment of Nausea,GASTRO,113,370,Zydus,2mg,tablet,true
decrodin dmr syrup,decrodin,Common cold,RESPIRATORY,44,395,Cipla,100mg,syrup,false
dynather 60mg injection,dynather,Malaria,ANTI,28,443,Dr Reddy,60mg,tablet,true
deczer 25mg injection,deczer,Treatment of Post menopausal osteoporosis,HORMONES,87,307,Zydus,25mg,injection,true
diocef s 125mg/62.5mg injection,diocef,Bacterial infections,ANTI,157,163,Alkem,125mg,injection,false
diclodol aqua 75mg injection,diclodol,Pain relief,PAIN,165,103,Zydus,75mg,tablet,true
dradec 25mg injection,dradec,Treatment of Post menopausal osteoporosis,HORMONES,43,434,Cipla,25mg,capsule,true
diclodom p 50mg/500mg tablet,diclodom,Pain relief,PAIN,78,243,Mankind,50mg,syrup,false
drakast-l kid tablet,drakast-l,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,120,181,Torrent,200mg,capsule,false
dicolix 75mg injection,dicolix,Pain relief,PAIN,82,112,Torrent,75mg,capsule,false
dv cifi 100mg tablet,dv,Treatment of Bacterial infections,ANTI,156,340,Abbott,100mg,tablet,true
dv sul sb 250mg/125mg injection,dv,Bacterial infections,ANTI,103,67,Alkem,250mg,capsule,true
dolohit 50mg injection,dolohit,Moderate to severe pain,PAIN,184,192,Alkem,50mg,injection,true
drotavol 80mg tablet,drotavol,Pain relief,GASTRO,23,64,Dr Reddy,80mg,injection,false
dicloviz injection,dicloviz,Pain relief,PAIN,169,403,Alkem,500mg,injection,true
delpride m 2mg/500mg tablet,delpride,Treatment of Type 2 diabetes mellitus,ANTI,45,277,Abbott,2mg,tablet,false
drosia injection,drosia,Pain relief,GASTRO,88,379,Abbott,250mg,capsule,false
dalwopod 50 dry syrup,dalwopod,Treatment of Bacterial infections,ANTI,151,192,Alkem,650mg,syrup,false
dalkort 30mg tablet,dalkort,Treatment of Inflammatory conditions,HORMONES,107,319,Lupin,30mg,capsule,false
dalrox 250mg tablet,dalrox,Treatment of Bacterial infections,ANTI,81,210,Torrent,250mg,capsule,false
dalceft s 500mg/250mg injection,dalceft,Bacterial infections,ANTI,127,110,Zydus,500mg,tablet,true
daldron 25mg injection,daldron,Treatment of Post menopausal osteoporosis,HORMONES,27,225,Zydus,25mg,syrup,true
dalxon s 500mg/250mg injection,dalxon,Bacterial infections,ANTI,54,320,Torrent,500mg,capsule,true
dalxon s 1000mg/500mg injection,dalxon,Bacterial infections,ANTI,134,96,Mankind,1000mg,injection,true
daliza 250mg tablet,daliza,Treatment of Bacterial infections,ANTI,151,207,Zydus,250mg,syrup,true
diclonist 75mg injection,diclonist,Pain relief,PAIN,125,446,Abbott,75mg,injection,true
dmfix 50mg syrup,dmfix,Treatment of Bacterial infections,ANTI,156,50,Dr Reddy,50mg,tablet,false
diczom sp 50mg/325mg/10mg tablet,diczom,Pain relief,PAIN,83,481,Mankind,50mg,injection,false
dazcef s 250mg/125mg injection,dazcef,Bacterial infections,ANTI,131,389,Sun Pharma,250mg,injection,true
dracam injection,dracam,Pain relief,PAIN,186,79,Lupin,250mg,injection,false
dracef 100mg tablet dt,dracef,Treatment of Bacterial infections,ANTI,52,162,Cipla,100mg,syrup,true
dramik 100mg injection,dramik,Bacterial infections,OPHTHAL,76,295,Dr Reddy,100mg,capsule,true
draper tz 2000mg/250mg injection,draper,Bacterial infections,ANTI,190,301,Torrent,2000mg,capsule,false
dicyfen oral drops,dicyfen,Improving Abdominal pain,GASTRO,149,457,Mankind,250mg,syrup,false
danaclox 250mg/250mg capsule,danaclox,Treatment of Bacterial infections,ANTI,80,215,Dr Reddy,250mg,capsule,false
diclonett-aq injection,diclonett-aq,Pain relief,PAIN,73,71,Torrent,250mg,injection,false
diarflox 200mg/200mg tablet,diarflox,Treatment of Bacterial infections,ANTI,116,90,Cipla,200mg,injection,true
dotrophic 2000iu injection,dotrophic,Treatment of Female infertility,GYNAECOLOGICAL,42,474,Mankind,200mg,capsule,true
dolxor 650mg tablet,dolxor,Pain relief,PAIN,168,229,Mankind,650mg,capsule,true
diclogic 75mg injection,diclogic,Pain relief,PAIN,53,230,Dr Reddy,75mg,syrup,false
dazcef s 1000mg/500mg injection,dazcef,Bacterial infections,ANTI,59,209,Zydus,1000mg,injection,false
dicovap 75mg injection,dicovap,Pain relief,PAIN,144,228,Sun Pharma,75mg,syrup,false
dicorik 75mg injection,dicorik,Pain relief,PAIN,95,437,Mankind,75mg,syrup,false
diclus aq 75mg injection,diclus,Pain relief,PAIN,116,443,Lupin,75mg,syrup,false
durabect 400mg/500mg injection,durabect,Bacterial infections,ANTI,61,319,Cipla,400mg,tablet,true
diclocad 75mg injection,diclocad,Pain relief,PAIN,109,499,Zydus,75mg,tablet,false
diclogod-sp tablet,diclogod-sp,Pain relief,PAIN,199,348,Zydus,500mg,syrup,false
douxrab ito 20mg/150mg capsule sr,douxrab,Gastroesophageal reflux disease (Acid reflux),GASTRO,135,222,Sun Pharma,20mg,tablet,false
dx trox tz 1000mg/125mg injection,dx,Bacterial infections,ANTI,131,111,Alkem,1000mg,capsule,false
delocap 75mg injection,delocap,Pain relief,PAIN,32,401,Dr Reddy,75mg,syrup,true
dclorav s 50mg/10mg tablet,dclorav,Pain relief,PAIN,195,306,Sun Pharma,50mg,tablet,false
diclosung 75mg injection,diclosung,Pain relief,PAIN,48,268,Cipla,75mg,syrup,true
dorotam p oral suspension,dorotam,Pain relief,PAIN,106,179,Dr Reddy,200mg,syrup,false
defidrot n 80mg/100mg tablet,defidrot,Pain relief,GASTRO,133,339,Torrent,80mg,syrup,true
dekan p 50mg/325mg tablet,dekan,Pain relief,PAIN,25,367,Sun Pharma,50mg,tablet,false
dekaman 50mg injection,dekaman,Treatment of Post menopausal osteoporosis,HORMONES,160,96,Lupin,50mg,injection,false
dakazit 500 tablet,dakazit,Treatment of Bacterial infections,ANTI,156,343,Zydus,200mg,syrup,false
doxisung 10mg/10mg/2.5mg tablet,doxisung,Treatment of Nausea and vomiting in pregnancy,GASTRO,122,438,Cipla,10mg,injection,false
decmed 75mg injection,decmed,Pain relief,PAIN,36,411,Lupin,75mg,injection,true
dicoj-sp tablet,dicoj-sp,Pain relief,PAIN,150,425,Alkem,200mg,syrup,false
dobutameg 250mg injection,dobutameg,Heart failure,CARDIAC,103,492,Abbott,250mg,capsule,true
dizziton 2mg injection,dizziton,Treatment of Nausea,GASTRO,78,301,Sun Pharma,2mg,syrup,false
drovtic mf 80mg/250mg tablet,drovtic,Treatment of Abdominal pain,GASTRO,61,59,Abbott,80mg,injection,true
delcef 100mg tablet,delcef,Treatment of Bacterial infections,ANTI,111,409,Torrent,100mg,syrup,false
diclolix-aq injection,diclolix-aq,Pain relief,PAIN,104,466,Dr Reddy,650mg,tablet,false
diclorim s 50mg/15mg tablet,diclorim,Pain relief,PAIN,80,384,Dr Reddy,50mg,syrup,true
damdec 25mg injection,damdec,Treatment of Post menopausal osteoporosis,HORMONES,98,493,Abbott,25mg,capsule,true
douxrab i.v. 20mg injection,douxrab,Gastroesophageal reflux disease (Acid reflux),GASTRO,27,59,Lupin,20mg,capsule,false
deznac forte 50mg/325mg/10mg tablet,deznac,Pain relief,PAIN,121,438,Torrent,50mg,tablet,true
daypep 4000mg/500mg injection,daypep,Bacterial infections,ANTI,35,97,Sun Pharma,4000mg,capsule,false
dxfine m 400mg/10mg tablet,dxfine,Treatment and prevention of Asthma,RESPIRATORY,39,192,Mankind,400mg,syrup,false
d sick th 100mg/4mg tablet,d,Treatment of Pain due to muscle spasm,PAIN,184,454,Cipla,100mg,tablet,false
dicnov fast 75mg injection,dicnov,Pain relief,PAIN,44,486,Torrent,75mg,syrup,false
dicnov mr 250mg/50mg/325mg tablet,dicnov,Treatment of Pain due to muscle spasm,PAIN,150,127,Mankind,250mg,injection,false
drrenol 20mg tablet,drrenol,Gastroesophageal reflux disease (Acid reflux),GASTRO,32,461,Mankind,20mg,tablet,true
duodict dry syrup,duodict,Treatment of Resistant Tuberculosis (TB),ANTI,191,480,Abbott,200mg,capsule,false
d num 2mg tablet,d,Endometriosis,GYNAECOLOGICAL,104,395,Sun Pharma,2mg,injection,true
democlav 1000mg/200mg injection,democlav,Treatment of Bacterial infections,ANTI,128,118,Torrent,1000mg,syrup,false
delxone sb 250mg/125mg injection,delxone,Bacterial infections,ANTI,132,199,Sun Pharma,250mg,syrup,true
delxone tz 125mg/15.6mg injection,delxone,Bacterial infections,ANTI,95,210,Torrent,125mg,tablet,false
diknac p 50mg/325mg tablet,diknac,Pain relief,PAIN,44,93,Torrent,50mg,injection,true
detil 750mg injection,detil,Treatment of Bacterial infections,ANTI,32,115,Zydus,750mg,syrup,false
d mef oral suspension,d,Pain relief,PAIN,105,86,Dr Reddy,250mg,capsule,true
dunex 30 tablet,dunex,Treatment of Depression,NEURO,193,374,Torrent,650mg,injection,false
dorin-ds tablet,dorin-ds,Pain relief,GASTRO,101,323,Lupin,250mg,tablet,true
distrin plus oral gel mango sugar free,distrin,Treatment of Acidity,GASTRO,140,354,Mankind,100mg,injection,false
dyrset eze tablet,dyrset,Treatment of Constipation,GASTRO,132,404,Dr Reddy,500mg,capsule,false
decakab 25mg injection,decakab,Treatment of Post menopausal osteoporosis,HORMONES,97,230,Dr Reddy,25mg,tablet,false
dolorap 100 mg/500 mg tablet,dolorap,Pain relief,PAIN,162,381,Lupin,100 mg,tablet,true
dolib 50mg tablet dt,dolib,Pain relief,PAIN,35,243,Abbott,50mg,syrup,true
duravisc pf ophthalmic solution,duravisc,Treatment of Dry eyes,OPHTHAL,57,235,Alkem,650mg,capsule,true
droxup kid 125mg tablet,droxup,Treatment of Bacterial infections,ANTI,135,292,Alkem,125mg,injection,true
d bikh 75mg injection,d,Pain relief,PAIN,92,434,Sun Pharma,75mg,syrup,false
dipidime 250mg injection,dipidime,Bacterial infections,ANTI,106,233,Lupin,250mg,syrup,false
dikol 75mg injection,dikol,Pain relief,PAIN,171,248,Cipla,75mg,capsule,true
daltum 250mg injection,daltum,Treatment of Bacterial infections,ANTI,87,293,Torrent,250mg,tablet,true
domrose 10mg tablet,domrose,Treatment of Indigestion,GASTRO,36,120,Cipla,10mg,tablet,false
dipizone 250mg injection,dipizone,Treatment of Bacterial infections,ANTI,180,145,Torrent,250mg,tablet,false
disquin 250mg tablet,disquin,Treatment of Bacterial infections,GASTRO,132,196,Lupin,250mg,syrup,false
droxal 250mg tablet,droxal,Treatment of Bacterial infections,ANTI,46,196,Sun Pharma,250mg,capsule,false
diwot-t 4mg/50mg tablet,diwot-t,Pain due to muscle spasm,PAIN,174,197,Lupin,4mg,tablet,false
doxolem 10mg injection,doxolem,Cancer,ANTI,159,67,Zydus,10mg,injection,false
deblo 400mg tablet,deblo,Treatment of Bacterial infections,ANTI,118,175,Sun Pharma,400mg,capsule,false
docsef 50mg tablet,docsef,Treatment of Bacterial infections,ANTI,178,316,Dr Reddy,50mg,tablet,true
dewcef-s 250mg/125mg injection,dewcef-s,Bacterial infections,ANTI,70,469,Sun Pharma,250mg,injection,true
d-cin 250mg injection,d-cin,Bacterial infections,OPHTHAL,44,397,Sun Pharma,250mg,injection,true
damol 50mg injection,damol,Moderate to severe pain,PAIN,160,426,Torrent,50mg,injection,false
dguta 80mg injection,dguta,Pain relief,GASTRO,162,210,Sun Pharma,80mg,tablet,false
dasebard d 50mg/10mg tablet,dasebard,Pain relief,PAIN,103,184,Torrent,50mg,capsule,true
danemox 250mg capsule,danemox,Treatment of Bacterial infections,ANTI,159,286,Mankind,250mg,injection,false
dilt 30mg tablet,dilt,Treatment of Hypertension (high blood pressure),CARDIAC,134,420,Zydus,30mg,tablet,false
drinzine 5mg/500mg/50mg tablet,drinzine,Treatment of Common cold,RESPIRATORY,118,308,Abbott,5mg,syrup,true
dasault 1gm injection,dasault,Bacterial infections,ANTI,88,225,Alkem,650mg,injection,true
deflachi 6mg tablet,deflachi,Treatment of Inflammatory conditions,HORMONES,180,80,Sun Pharma,6mg,tablet,false
docecare 20mg injection,docecare,Breast cancer,ANTI,139,355,Lupin,20mg,injection,true
dilsafe 30mg tablet,dilsafe,Treatment of Hypertension (high blood pressure),CARDIAC,192,390,Abbott,30mg,syrup,false
domsmi p 10mg/40mg tablet,domsmi,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,52,381,Zydus,10mg,capsule,true
dolbest 100mg injection,dolbest,Moderate to severe pain,PAIN,26,395,Alkem,100mg,injection,false
droxymet 125mg tablet,droxymet,Treatment of Bacterial infections,ANTI,148,78,Torrent,125mg,capsule,false
dcefpro 50 dry syrup,dcefpro,Treatment of Bacterial infections,ANTI,104,216,Cipla,250mg,syrup,true
dicloroy 75mg injection,dicloroy,Pain relief,PAIN,45,111,Dr Reddy,75mg,tablet,true
difeba sp 50mg/10mg tablet,difeba,Pain relief,PAIN,189,311,Lupin,50mg,syrup,true
dicloder p 50mg/325mg tablet,dicloder,Pain relief,PAIN,130,109,Mankind,50mg,tablet,true
deflohexa 6mg syrup,deflohexa,Treatment of Duchenne muscular dystrophy(DMD),HORMONES,193,373,Lupin,6mg,capsule,true
diclogold 100mg tablet sr,diclogold,Pain relief,PAIN,83,372,Abbott,100mg,syrup,false
diocalm plus 125mg/5ml/5mg/5ml syrup,diocalm,Treatment of Fever,RESPIRATORY,89,215,Dr Reddy,125mg,injection,false
decanelt 50mg injection,decanelt,Treatment of Post menopausal osteoporosis,HORMONES,35,116,Cipla,50mg,capsule,false
dicnox aq 25mg injection,dicnox,Pain relief,PAIN,114,117,Lupin,25mg,injection,true
defix 50mg dry syrup,defix,Treatment of Bacterial infections,ANTI,78,366,Dr Reddy,50mg,syrup,true
dicdem aq 75mg injection,dicdem,Pain relief,PAIN,65,369,Torrent,75mg,injection,false
dofenic 75mg injection,dofenic,Pain relief,PAIN,91,330,Zydus,75mg,injection,true
decando 50mg injection,decando,Treatment of Post menopausal osteoporosis,HORMONES,161,417,Sun Pharma,50mg,capsule,true
diclolife p 50mg/325mg tablet,diclolife,Pain relief,PAIN,31,54,Lupin,50mg,syrup,false
degrain oral suspension,degrain,Treatment of Migraine,NEURO,153,454,Cipla,100mg,syrup,true
dovacef 50mg dry syrup,dovacef,Treatment of Bacterial infections,ANTI,35,153,Abbott,50mg,injection,false
deefix oz 200mg/500mg tablet,deefix,Treatment of Bacterial infections,ANTI,50,385,Dr Reddy,200mg,syrup,true
dv gest 200mg soft gelatin capsule,dv,Hormone replacement therapy,GYNAECOLOGICAL,158,118,Sun Pharma,200mg,capsule,false
difol forte 250mg/50mg/325mg tablet,difol,Treatment of Pain due to muscle spasm,PAIN,168,116,Zydus,250mg,injection,false
diclite 75mg injection,diclite,Pain relief,PAIN,53,119,Abbott,75mg,capsule,true
dinum ap 100mg/325mg tablet,dinum,Pain relief,PAIN,172,311,Sun Pharma,100mg,injection,false
dalflox 100mg oral suspension,dalflox,Treatment of Bacterial infections,ANTI,140,305,Lupin,100mg,injection,true
dalceft 1g injection,dalceft,Treatment of Bacterial infections,ANTI,137,242,Sun Pharma,500mg,injection,true
dgcef s 500mg/250mg injection,dgcef,Bacterial infections,ANTI,67,375,Sun Pharma,500mg,syrup,true
droamp oral drops,droamp,Improving Abdominal pain,GASTRO,166,378,Dr Reddy,650mg,capsule,false
danasulid 100mg tablet,danasulid,Pain relief,PAIN,162,242,Torrent,100mg,tablet,false
diclosia mr 250mg/50mg/325mg tablet,diclosia,Treatment of Pain due to muscle spasm,PAIN,44,204,Abbott,250mg,tablet,false
defpea 24mg tablet,defpea,Treatment of Inflammatory conditions,HORMONES,96,105,Cipla,24mg,tablet,false
dapramol 250mg oral suspension,dapramol,Pain relief,PAIN,45,383,Cipla,250mg,syrup,false
delsta injection,delsta,Pain relief,PAIN,44,438,Torrent,500mg,tablet,false
danmor 2mg injection,danmor,Treatment of Nausea,GASTRO,142,440,Abbott,2mg,tablet,true
dalstrote 80mg/250mg tablet,dalstrote,Treatment of Abdominal pain,GASTRO,83,416,Abbott,80mg,injection,false
dalprox 50mg tablet dt,dalprox,Treatment of Bacterial infections,ANTI,71,305,Lupin,50mg,capsule,true
defwort 6mg tablet,defwort,Treatment of Inflammatory conditions,HORMONES,135,159,Alkem,6mg,capsule,true
decahub 25mg injection,decahub,Treatment of Post menopausal osteoporosis,HORMONES,28,298,Sun Pharma,25mg,tablet,false
dicohist 75mg injection,dicohist,Pain relief,PAIN,25,286,Dr Reddy,75mg,syrup,false
decafine 25mg injection,decafine,Treatment of Post menopausal osteoporosis,HORMONES,152,150,Abbott,25mg,injection,false
dioloc th 100mg/4mg tablet,dioloc,Treatment of Pain due to muscle spasm,PAIN,65,406,Zydus,100mg,injection,true
dventure 1000mg/200mg injection,dventure,Treatment of Bacterial infections,ANTI,40,166,Alkem,1000mg,injection,false
dizakold-d syrup,dizakold-d,Treatment of Dry cough,RESPIRATORY,183,390,Abbott,200mg,syrup,true
doxjafy am 400mg/30mg tablet,doxjafy,Chronic obstructive pulmonary disease (COPD),RESPIRATORY,149,242,Zydus,400mg,injection,false
dorzilid 600mg tablet,dorzilid,Treatment of Severe bacterial infections,ANTI,135,385,Lupin,600mg,capsule,false
diclorev mr 250mg/50mg/325mg tablet,diclorev,Treatment of Pain due to muscle spasm,PAIN,26,492,Cipla,250mg,injection,false
demofen p 50mg/325mg tablet,demofen,Pain relief,PAIN,170,406,Dr Reddy,50mg,capsule,true
dokim o 200mg/200mg tablet,dokim,Bacterial infections,ANTI,198,334,Alkem,200mg,tablet,false
decocip 25mg injection,decocip,Treatment of Post menopausal osteoporosis,HORMONES,72,360,Cipla,25mg,injection,false
deflazio 6 tablet,deflazio,Treatment of Inflammatory conditions,HORMONES,197,261,Zydus,100mg,syrup,false
dicsobon-p tablet,dicsobon-p,Pain relief,PAIN,63,390,Torrent,250mg,syrup,false
dgcef 1000mg injection,dgcef,Treatment of Bacterial infections,ANTI,61,113,Lupin,1000mg,capsule,false
difpod 75mg injection,difpod,Pain relief,PAIN,66,132,Alkem,75mg,tablet,true
decapower 25mg injection,decapower,Treatment of Post menopausal osteoporosis,HORMONES,101,269,Alkem,25mg,tablet,false
dizakold syrup,dizakold,Treatment of Common cold,RESPIRATORY,145,482,Mankind,250mg,injection,false
diclex 75mg injection,diclex,Pain relief,PAIN,115,415,Sun Pharma,75mg,capsule,true
dazcef 2000mg injection,dazcef,Treatment of Bacterial infections,ANTI,125,284,Torrent,2000mg,syrup,false
dragest 100 soft gelatin capsule,dragest,Hormone replacement therapy,GYNAECOLOGICAL,79,331,Lupin,200mg,tablet,false
dracef 50mg dry syrup,dracef,Treatment of Bacterial infections,ANTI,54,167,Mankind,50mg,capsule,true
doxpen 1000mg injection,doxpen,Severe bacterial infections,ANTI,100,362,Sun Pharma,1000mg,syrup,true
dgcef t 1000mg/125mg injection,dgcef,Bacterial infections,ANTI,164,277,Cipla,1000mg,syrup,false
dgcef t 250mg/31.25mg injection,dgcef,Bacterial infections,ANTI,81,240,Dr Reddy,250mg,tablet,false
dicloyn aqua 75mg injection,dicloyn,Pain relief,PAIN,66,232,Zydus,75mg,syrup,false
